가정별,성별,연령,항목,단위,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,년도
중위 추계(기본 추계: 출산율0중위 / 기대수명0중위 / 국제순이동0중위),전체,계,추계인구,0.0,25012374.0,25765673.0,26513030.0,27261747.0,27984155.0,28704674.0,29435571.0,30130983.0,30838302.0,31544266.0,32240827.0,32882704.0,33505406.0,34103149.0,34692266.0,35280725.0,35848523.0,36411795.0,36969185.0,37534236.0,38123775.0,38723248.0,39326352.0,39910403.0,40405956.0,40805744.0,41213674.0,41621690.0,42031247.0,42449038.0,42869283.0,43295704.0,43747962.0,44194628.0,44641540.0,45092991.0,45524681.0,45953580.0,46286503.0,46616677.0,47008111.0,47370164.0,47644736.0,47892330.0,48082519.0,48184561.0,48438292.0,48683638.0,49054708.0,49307835.0,49554112.0,49936638.0,50199853.0,50428893.0,50746659.0,51014947.0,51217803.0,51361911.0,51585058.0,51764822.0,51836239.0,51769539.0,51672569,51712619,51751065,51684564,51609121,51534551,51459877,51384052,51305713,51223269,51135265,51040632,50937726,50824868,50701389,50567057,50417167,50247657,50059218,49851637,49625415,49380766,49117432,48835031,48532231,48208374,47863071,47495914,47106960,46697391,46267614,45818111,45350648,44867534,44371641,43864958,43349217,42827316,42302086,41775305,41248542,40723791,40202384,39685210,39172974,38666431,38165892,37670942,37181774,36698961,36222293,25012374.0
중위 추계(기본 추계: 출산율0중위 / 기대수명0중위 / 국제순이동0중위),전체,0 0 4세,추계인구,0.0,4590812.0,4729444.0,4824275.0,4855180.0,4797702.0,4710919.0,4662734.0,4621997.0,4581311.0,4562049.0,4548177.0,4619581.0,4675505.0,4695313.0,4689282.0,4541059.0,4380101.0,4222842.0,4107110.0,4025181.0,4033727.0,4075892.0,4112359.0,4119715.0,4013144.0,3845533.0,3664739.0,3469862.0,3330753.0,3277842.0,3203203.0,3238866.0,3316174.0,3403133.0,3483283.0,3545704.0,3559073.0,3524075.0,3452808.0,3349173.0,3259783.0,3162858.0,3006361.0,2843122.0,2699556.0,2524288.0,2359807.0,2298242.0,2301398.0,2273634.0,2271803.0,2315573.0,2330921.0,2309327.0,2295016.0,2290097.0,2240110.0,2151219.0,2038736.0,1930344.0,1776616.0,1618830.0,1494041,1387730,1296661,1219810,1163069,1132285,1126311,1144645,1182654,1227443,1266869,1300255,1327327,1348334,1364010,1375467,1379606,1373826,1360214,1340453,1315728,1291052,1270421,1252572,1235987,1219048,1200231,1178309,1152490,1122514,1088662,1051699,1012777,973294,934751,898586,866055,838138,815471,798311,786552,779764,777259,778153,781475,786240,791520,796509,800555,803192,804122,4590812.0
중위 추계(기본 추계: 출산율0중위 / 기대수명0중위 / 국제순이동0중위),전체,5 0 9세,추계인구,0.0,3350533.0,3600742.0,3829857.0,4100606.0,4358095.0,4550019.0,4686035.0,4783612.0,4812868.0,4745919.0,4629882.0,4524871.0,4457446.0,4413524.0,4422587.0,4478159.0,4540577.0,4611679.0,4626835.0,4584686.0,4458426.0,4316638.0,4168352.0,4056805.0,3990530.0,3967667.0,4017250.0,4083227.0,4109267.0,4021803.0,3843481.0,3644652.0,3440905.0,3281101.0,3191664.0,3166753.0,3188482.0,3269997.0,3367330.0,3459152.0,3521464.0,3533008.0,3494260.0,3416386.0,3321422.0,3233565.0,3136070.0,2976622.0,2809151.0,2671496.0,2497927.0,2336396.0,2276951.0,2279822.0,2252502.0,2251100.0,2297146.0,2308987.0,2288927.0,2276175.0,2278285.0,2231797.0,2142084,2027744,1914933,1766989,1611458,1484748,1381117,1289904,1213921,1157815,1127373,1121485,1139688,1177391,1221784,1260821,1293879,1320685,1341487,1357010,1368354,1372453,1366732,1353262,1333697,1309205,1284771,1264358,1246698,1230287,1213524,1194896,1173197,1147635,1117954,1084432,1047835,1009295,970206,932044,896243,864037,836403,813968,796987,785354,778642,776167,777063,780360,785080,3350533.0
중위 추계(기본 추계: 출산율0중위 / 기대수명0중위 / 국제순이동0중위),전체,10 0 14세,추계인구,0.0,2646238.0,2734833.0,2818491.0,2894588.0,3059841.0,3316802.0,3567290.0,3793884.0,4065204.0,4330264.0,4531308.0,4619637.0,4725521.0,4740548.0,4678202.0,4595185.0,4514152.0,4438586.0,4382084.0,4395448.0,4458622.0,4532506.0,4605889.0,4624448.0,4588086.0,4491342.0,4347844.0,4193288.0,4047425.0,3961486.0,3926908.0,3975202.0,4034347.0,4050294.0,3978499.0,3824371.0,3655722.0,3439030.0,3271379.0,3164569.0,3129982.0,3156586.0,3231727.0,3325398.0,3409535.0,3465407.0,3483708.0,3439518.0,3368274.0,3284134.0,3209709.0,3119491.0,2969359.0,2803088.0,2666175.0,2488686.0,2327307.0,2264077.0,2267391.0,2241561.0,2250969.0,2297714.0,2311839,2289761,2273651,2271667,2221724,2136724,2023361,1910507,1763359,1608641,1482645,1379589,1288875,1213327,1157551,1127284,1121415,1139521,1177050,1221236,1260078,1292971,1319644,1340342,1355788,1367077,1371152,1365465,1352080,1332628,1308261,1283952,1263649,1246086,1229766,1213093,1194565,1172981,1147553,1118030,1084683,1048280,1009942,971058,933097,897479,865441,837953,815634,798743,787174,2646238.0
중위 추계(기본 추계: 출산율0중위 / 기대수명0중위 / 국제순이동0중위),전체,15 0 19세,추계인구,0.0,2418444.0,2385695.0,2406634.0,2480480.0,2538928.0,2608078.0,2697527.0,2782684.0,2858382.0,3016634.0,3269356.0,3499916.0,3723447.0,3960106.0,4174551.0,4334269.0,4455008.0,4546786.0,4604018.0,4587525.0,4519689.0,4411934.0,4331102.0,4304820.0,4339154.0,4407777.0,4481930.0,4549972.0,4581350.0,4550521.0,4442014.0,4297041.0,4138758.0,3996579.0,3909674.0,3896948.0,3953516.0,4031766.0,4060624.0,3999155.0,3842432.0,3615529.0,3391243.0,3216920.0,3108835.0,3080061.0,3103285.0,3184001.0,3282024.0,3368818.0,3428793.0,3468536.0,3435576.0,3373050.0,3289729.0,3222268.0,3132204.0,2982455.0,2820005.0,2685976.0,2518218.0,2345886.0,2287873,2301077,2272843,2267007,2309228,2323747,2301322,2285032,2283155,2233375,2148742,2035900,1923663,1777168,1623231,1497998,1395564,1305368,1230266,1174849,1144832,1139092,1157207,1194636,1238645,1277291,1310016,1336555,1357147,1372510,1383738,1387782,1382098,1368763,1349393,1325136,1300951,1280766,1263305,1247077,1230489,1212050,1190565,1165252,1135860,1102667,1066432,1028273,989573,951796,916355,2418444.0
중위 추계(기본 추계: 출산율0중위 / 기대수명0중위 / 국제순이동0중위),전체,20 0 24세,추계인구,0.0,2322705.0,2364469.0,2396924.0,2391964.0,2391559.0,2375793.0,2345065.0,2367660.0,2442257.0,2502316.0,2569044.0,2640975.0,2729488.0,2780387.0,2874517.0,3074414.0,3336525.0,3544548.0,3743774.0,3936519.0,4093407.0,4264325.0,4370369.0,4393485.0,4347506.0,4274337.0,4245645.0,4207912.0,4177568.0,4208326.0,4342407.0,4429021.0,4504498.0,4531297.0,4491139.0,4391626.0,4247453.0,4077566.0,3938084.0,3853441.0,3854382.0,3933235.0,4011329.0,4045569.0,3970573.0,3788780.0,3587201.0,3380558.0,3226850.0,3153001.0,3139049.0,3175673.0,3268949.0,3370906.0,3457405.0,3511968.0,3559849.0,3529657.0,3498197.0,3439052.0,3392351.0,3278327.0,3105237,2953664,2838789,2660295,2494651,2431280,2426368,2389769,2384126,2426189,2440583,2418364,2402164,2400385,2351103,2267308,2155611,2044680,1899865,1747829,1624276,1523211,1434173,1360058,1305450,1276022,1270569,1288649,1325750,1369285,1407469,1439796,1466007,1486341,1501518,1512613,1516583,1510910,1497682,1478512,1454534,1430652,1410735,1393501,1377474,1361082,1342843,1321585,1296545,1267466,1234634,2322705.0
중위 추계(기본 추계: 출산율0중위 / 기대수명0중위 / 국제순이동0중위),전체,25 0 29세,추계인구,0.0,1933080.0,2028591.0,2117003.0,2198636.0,2248720.0,2278869.0,2318981.0,2352602.0,2349726.0,2350851.0,2335969.0,2297759.0,2309954.0,2378425.0,2458215.0,2535266.0,2588407.0,2647963.0,2727306.0,2862241.0,3072797.0,3299851.0,3499449.0,3713565.0,3917373.0,4097891.0,4206166.0,4291592.0,4346783.0,4342301.0,4326749.0,4264005.0,4216818.0,4203646.0,4237069.0,4300710.0,4344493.0,4424219.0,4441047.0,4418353.0,4352913.0,4224596.0,4064589.0,3941430.0,3853273.0,3843827.0,3927136.0,4018371.0,4056267.0,4001090.0,3834105.0,3664802.0,3464864.0,3315255.0,3259130.0,3269454.0,3279811.0,3368161.0,3493062.0,3587776.0,3645542.0,3675202.0,3628784,3594717,3533643,3476469,3392971,3246886,3083875,2951792,2773392,2607482,2543679,2538480,2501988,2496575,2538708,2553294,2531251,2515340,2513810,2464615,2380937,2269322,2158347,2013319,1860835,1736780,1635314,1545960,1471574,1416691,1386961,1381266,1399235,1436385,1480084,1518463,1550974,1577350,1597829,1613126,1624313,1628375,1622795,1609627,1590468,1566447,1542489,1522496,1505202,1489131,1472706,1933080.0
중위 추계(기본 추계: 출산율0중위 / 기대수명0중위 / 국제순이동0중위),전체,30 0 34세,추계인구,0.0,1556328.0,1609631.0,1668138.0,1737520.0,1809800.0,1897676.0,1994345.0,2080356.0,2157800.0,2206952.0,2237747.0,2268991.0,2306035.0,2296469.0,2277514.0,2245682.0,2236634.0,2278218.0,2355958.0,2446500.0,2525214.0,2595896.0,2682293.0,2787668.0,2937236.0,3089272.0,3344633.0,3529362.0,3756309.0,3966001.0,4134702.0,4259036.0,4345014.0,4376728.0,4353044.0,4296721.0,4257500.0,4212189.0,4162297.0,4181625.0,4247992.0,4332087.0,4421320.0,4473012.0,4450632.0,4360436.0,4226271.0,4078911.0,3954807.0,3856438.0,3877784.0,3967427.0,4058688.0,4086255.0,4045454.0,3871602.0,3688255.0,3491542.0,3360617.0,3306462.0,3307803.0,3306451.0,3390434,3524540,3615767,3670087,3717056,3685186,3632729,3559267,3502597,3419461,3273431,3110295,2978111,2799624,2633573,2569710,2564652,2528297,2522916,2565215,2580018,2558106,2542198,2540694,2491539,2407731,2295860,2184573,2039223,1886391,1762012,1660280,1570700,1496117,1441096,1411322,1405667,1423735,1461026,1504889,1543428,1576077,1602572,1623149,1638524,1649782,1653890,1648315,1635124,1615925,1591848,1556328.0
중위 추계(기본 추계: 출산율0중위 / 기대수명0중위 / 국제순이동0중위),전체,35 0 39세,추계인구,0.0,1370125.0,1378285.0,1393159.0,1411114.0,1461341.0,1503227.0,1558304.0,1624748.0,1702174.0,1777460.0,1866982.0,1948564.0,2029069.0,2108309.0,2166022.0,2209126.0,2251043.0,2293446.0,2310640.0,2300125.0,2279565.0,2269264.0,2298095.0,2369242.0,2462888.0,2552192.0,2564329.0,2647684.0,2703254.0,2805972.0,3042329.0,3273671.0,3489073.0,3712065.0,3924912.0,4092051.0,4204082.0,4312799.0,4357948.0,4324945.0,4273079.0,4228965.0,4187506.0,4154850.0,4216022.0,4267337.0,4361921.0,4449040.0,4509979.0,4466962.0,4387036.0,4241327.0,4087693.0,3949716.0,3854386.0,3892100.0,3964685.0,4054300.0,4095610.0,4051769.0,3866979.0,3683026.0,3482511,3349843,3297256,3305481,3320524,3411604,3519526,3599061,3653968,3701374,3670012,3617976,3544873,3488502,3405705,3260004,3097121,2965160,2786993,2621212,2557503,2552625,2516480,2511196,2553576,2568534,2546779,2530947,2529495,2480455,2396730,2284896,2173619,2028310,1875523,1751168,1649457,1559893,1485320,1430312,1400573,1394974,1413100,1450448,1494370,1532970,1565675,1592222,1612846,1628267,1639566,1370125.0
중위 추계(기본 추계: 출산율0중위 / 기대수명0중위 / 국제순이동0중위),전체,40 0 44세,추계인구,0.0,1125034.0,1153393.0,1192402.0,1245123.0,1285534.0,1318905.0,1328372.0,1345172.0,1366081.0,1420672.0,1467129.0,1518568.0,1575198.0,1642717.0,1720007.0,1820221.0,1913806.0,1995036.0,2069345.0,2132768.0,2178570.0,2226462.0,2274207.0,2289040.0,2276724.0,2262901.0,2259794.0,2282293.0,2337657.0,2419171.0,2477748.0,2545795.0,2608361.0,2676856.0,2796727.0,2995391.0,3217477.0,3405223.0,3625438.0,3860167.0,4020438.0,4155285.0,4271265.0,4342326.0,4312441.0,4248300.0,4184030.0,4156757.0,4135275.0,4244225.0,4306370.0,4409021.0,4483989.0,4527975.0,4479628.0,4398381.0,4230029.0,4078404.0,3951400.0,3847859.0,3872171.0,3944406.0,4035019,4066215,4023556,3851246,3679608,3488687,3343046,3282713,3291549,3307141,3398478,3506627,3586480,3641740,3689494,3658642,3607044,3534382,3478407,3396023,3250793,3088360,2956743,2778966,2613456,2549841,2545061,2509083,2503915,2546399,2561524,2539933,2524219,2522913,2474060,2390486,2278797,2167632,2022442,1869705,1745346,1643632,1554074,1479506,1424501,1394764,1389167,1407304,1444685,1488672,1527348,1125034.0
